Pair.ID, Chemistry
1421, Bad
1434, Good
1444, Good
1445, Bad
1448, Good
1453, Good
1461, Good
1464, Bad
1472, Bad
1475, Bad
1479, Good
1485, Bad
1488, Good
1492, Bad
1495, Bad
1504, Bad
1506, Good
1509, Bad
1512, Good
1513, Bad
1522, Good
1525, Bad
1527, Bad
1530, Bad
1535, Bad
1539, Good
1541, Good
1550, Bad
1553, Good
1562, Bad
1570, Bad
1575, Bad
1577, Good
1580, Bad
1585, Good
1591, Good
1599, Bad
1604, Good
1608, Good
1611, Bad
1613, Bad
1616, Good
1625, Bad
1626, Good
1627, Bad
1629, Bad
1634, Good
1642, Good
1643, Good
1650, Bad
1654, Good
1656, Good
1660, Good
1663, Bad
1668, Bad
1669, Good
1674, Good
1676, Good
1682, Good
1690, Bad
1705, Bad
1707, Good
1718, Good
1720, Bad
1725, Good
1727, Bad
1728, Good
1733, Bad
1735, Bad
1738, Good
1742, Good
1754, Good
1762, Good
1766, Good
1772, Good
1780, Bad
1783, Bad
1784, Good
1803, Bad
1807, Bad
1809, Bad
1814, Good
1818, Good
1821, Bad
1826, Good
1831, Good
1832, Bad
1834, Good
1835, Bad
1836, Bad
1840, Bad
1841, Bad
1842, Good
1855, Bad
1857, Good
1865, Good
1874, Good
1878, Good
1893, Bad
1895, Bad
1899, Good
1904, Good
1905, Bad
1910, Good
1917, Good
1920, Good
1923, Bad
1932, Good
1938, Bad
1952, Good
1956, Bad
1960, Good
1972, Good
1974, Good
1975, Bad
1979, Bad
1985, Bad
1989, Good
1990, Good
1991, Bad
1994, Good
1999, Good
2000, Bad
2004, Bad
2005, Good
2025, Bad
2031, Bad
2034, Good
2035, Good
2037, Good
2055, Bad
2062, Bad
2064, Bad
2077, Bad
2084, Good
2085, Bad
2090, Bad
2093, Good
2100, Bad
2101, Bad
2123, Bad
2126, Bad
2128, Bad
2129, Bad
2144, Good
2151, Good
2156, Good
2162, Good
2167, Bad
2179, Bad
2180, Good
2188, Good
2197, Good
2200, Good
2205, Good
2209, Good
2210, Good
2215, Bad
2225, Good
2226, Bad
2234, Bad
2238, Bad
2260, Bad
2277, Bad
2280, Bad
2281, Bad
2289, Bad
2296, Good
2303, Bad
2310, Bad
2317, Bad
2329, Bad
2331, Bad
2335, Bad
2338, Bad
2340, Bad
2343, Good
2345, Good
2351, Bad
2358, Bad
2367, Good
2372, Good
2376, Bad
2377, Bad
2378, Bad
2392, Bad
2397, Good
2401, Good
2402, Bad
2407, Good
2416, Good
2417, Good
2428, Good
2432, Good
2435, Bad
2449, Bad
2452, Good
2459, Good
2464, Good
2477, Bad
2489, Bad
2497, Bad
2500, Good
2501, Bad
2512, Bad
2514, Bad
2518, Good
2524, Bad
2525, Bad
2527, Bad
2530, Good
2546, Good
2549, Good
2551, Good
2552, Bad
2560, Good
2564, Good
2572, Bad
2575, Good
2579, Good
2586, Bad
2599, Good
2600, Bad
2604, Bad
2626, Bad
2629, Good
2631, Good
2661, Good
2663, Bad
2677, Good
2679, Good
2688, Bad
2689, Good
2690, Bad
2691, Bad
2694, Bad
2700, Bad
2713, Bad
2724, Good
2725, Bad
2732, Bad
2733, Bad
2734, Good
2742, Bad
2743, Bad
2744, Good
2749, Bad
2764, Good
2766, Good
2768, Bad
2771, Bad
2779, Bad
2780, Good
2782, Good
2783, Good
2790, Bad
2792, Good
2794, Good
2797, Good
2801, Bad
2802, Good
2807, Bad
2810, Good
2813, Bad
2815, Bad
2816, Good
2827, Bad
2834, Bad
2840, Bad
2842, Bad
2847, Bad
2852, Good
2856, Good
2860, Good
2863, Bad
2880, Good
2881, Good
2883, Bad
2884, Bad
2886, Good
2891, Good
2904, Good
2907, Bad
2910, Bad
2922, Bad
2930, Bad
2932, Bad
2934, Bad
2940, Bad
2942, Bad
2946, Good
2961, Good
2962, Good
2963, Good
2969, Bad
2979, Good
2987, Good
2988, Good
2991, Bad
2992, Good
2995, Bad
2997, Bad
3005, Good
3006, Good
3022, Bad
3024, Good
3028, Good
3029, Good
3033, Good
3040, Bad
3046, Good
3050, Good
3052, Bad
3057, Bad
3060, Bad
3061, Good
3066, Bad
3070, Bad
3072, Bad
3082, Bad
3086, Good
3089, Good
3091, Bad
3094, Bad
3097, Good
3100, Bad
3102, Bad
3108, Bad
3117, Bad
3120, Good
3130, Good
3131, Bad
3134, Bad
3141, Bad
3142, Bad
3143, Bad
3148, Good
3156, Good
3160, Good
3173, Bad
3188, Bad
3192, Good
3194, Bad
3195, Bad
3198, Bad
3214, Good
3216, Good
3241, Bad
3256, Bad
3260, Bad
3263, Bad
3265, Good
3267, Good
3276, Good
3279, Good
3283, Good
3285, Good
3292, Bad
3298, Good
3300, Bad
3302, Bad
3306, Bad
3308, Good
3309, Bad
3312, Good
3315, Bad
3316, Good
3327, Good
3329, Bad
3342, Good
3353, Good
3358, Bad
3368, Bad
3372, Good
3373, Good
3374, Bad
3375, Good
3377, Good
3382, Bad
3385, Bad
3386, Bad
3397, Bad
3399, Good
3407, Good
3408, Good
3410, Bad
3413, Bad
3415, Bad
3417, Good
3419, Bad
3422, Bad
3427, Bad
3436, Good
3443, Good
3447, Good
3458, Good
3463, Bad
3464, Bad
3475, Bad
3491, Good
3494, Good
3504, Good
3514, Bad
3515, Good
3521, Bad
3526, Good
3528, Good
3532, Bad
3538, Good
3539, Bad
3540, Good
3548, Good
3552, Good
3559, Bad
3564, Bad
3566, Good
3568, Good
3576, Good
3587, Bad
3591, Bad
3594, Bad
3601, Bad
3607, Bad
3608, Good
3609, Good
3611, Bad
3617, Good
3624, Bad
3633, Bad
3635, Good
3637, Bad
3643, Bad
3647, Bad
3654, Good
3658, Good
3667, Good
3668, Bad
3690, Bad
3691, Good
3695, Bad
3701, Bad
3705, Good
3709, Bad
3716, Bad
3720, Bad
3721, Good
3723, Good
3726, Bad
3734, Bad
3747, Good
3751, Good
3754, Good
3761, Bad
3770, Good
3771, Bad
3777, Bad
3779, Bad
3782, Bad
3783, Good
3788, Bad
3789, Good
3800, Good
3801, Bad
3811, Good
3814, Bad
3825, Bad
3828, Bad
3842, Good
3845, Bad
3849, Good
3854, Bad
3855, Good
3858, Good
3863, Good
3868, Good
3874, Bad
3883, Good
3887, Bad
3888, Good
3891, Bad
3893, Good
3894, Bad
3902, Bad
3906, Good
3914, Bad
3916, Bad
3918, Bad
3919, Bad
3921, Good
3934, Good
3937, Bad
3938, Bad
3948, Good
3949, Bad
3950, Bad
3954, Good
3955, Bad
3966, Good
3977, Bad
3980, Good
3984, Good
3986, Bad
3993, Good
3994, Bad
4002, Good
4008, Bad
4019, Good
4021, Good
4036, Bad
4046, Bad
4047, Good
4052, Bad
4053, Good
4058, Bad
4062, Good
4069, Good
4080, Good
4085, Bad
4086, Good
4090, Good
4091, Bad
4104, Good
4116, Good
4119, Bad
4121, Bad
4122, Good
4124, Good
4128, Good
4133, Bad
4134, Good
4135, Bad
4141, Bad
4147, Bad
4156, Bad
4174, Bad
4182, Good
4186, Bad
4189, Good
4202, Bad
4203, Good
4207, Good
4213, Good
4217, Good
4221, Good
4226, Bad
4228, Bad
4242, Good
4249, Good
4250, Bad
4258, Good
4265, Bad
4275, Bad
4282, Good
4284, Good
4289, Bad
4291, Bad
4294, Good
4306, Bad
4307, Bad
4313, Good
4326, Bad
4327, Bad
4337, Good
4347, Good
4382, Good
4383, Good
4397, Bad
4400, Bad
4417, Good
4422, Bad
4432, Good
4434, Good
4437, Good
4441, Bad
4442, Good
4443, Bad
4450, Bad
4452, Bad
4454, Bad
4460, Bad
4463, Bad
4471, Good
4473, Bad
4477, Bad
4492, Bad
4493, Good
4499, Bad
4503, Bad
4504, Good
4512, Good
4515, Good
4516, Good
4536, Bad
4545, Bad
4559, Bad
4563, Bad
4566, Good
4569, Bad
4570, Good
4578, Good
4584, Good
4585, Bad
4596, Good
4597, Bad
4599, Bad
4601, Bad
4605, Bad
4607, Bad
4608, Good
4613, Bad
4619, Bad
4634, Good
4635, Bad
4639, Bad
4648, Good
4651, Good
4653, Good
4658, Good
4659, Bad
4666, Good
4669, Bad
4671, Bad
4680, Bad
4700, Good
4703, Bad
4705, Bad
4706, Good
4708, Good
4716, Bad
4719, Bad
4721, Bad
4730, Good
4735, Bad
4742, Good
4743, Good
4755, Bad
4759, Bad
4763, Good
4766, Good
4769, Bad
4770, Bad
4776, Bad
4782, Good
4785, Good
4788, Bad
4791, Bad
4798, Bad
4799, Bad
4801, Good
4802, Bad
4808, Good
4809, Good
4828, Good
4829, Bad
4832, Good
4835, Bad
4846, Good
4850, Good
4855, Bad
4858, Good
4859, Good
4876, Good
4877, Good
4882, Bad
4886, Bad
4887, Good
4891, Good
4896, Good
4900, Bad
4904, Bad
4912, Good
4917, Good
4922, Good
4925, Bad
4926, Good
4928, Bad
4929, Bad
4945, Bad
4949, Bad
4950, Good
4961, Bad
4965, Bad
4966, Bad
4970, Bad
4973, Bad
4978, Bad
4984, Bad
4988, Bad
4994, Bad
4995, Good
5005, Bad
5016, Bad
5017, Bad
5019, Good
5028, Bad
5030, Good
5037, Good
5039, Bad
5041, Bad
5044, Bad
5046, Good
5047, Bad
5050, Good
5059, Bad
5063, Bad
5090, Good
5099, Good
5102, Good
5103, Good
5113, Good
5140, Good
5146, Good
5151, Good
5162, Bad
5174, Bad
5175, Good
5186, Good
5187, Bad
5198, Bad
5213, Bad
5215, Good
5219, Good
5220, Bad
5224, Bad
5225, Bad
5231, Bad
5235, Bad
5241, Good
5243, Good
5254, Good
5257, Good
5258, Bad
5261, Good
5262, Bad
5265, Good
5267, Bad
5269, Good
5272, Bad
5273, Good
5279, Bad
5282, Good
5285, Bad
5288, Good
5292, Bad
5295, Good
5298, Good
5308, Good
5315, Bad
5322, Bad
5329, Good
5332, Good
5335, Good
5338, Good
5342, Bad
5350, Good
5361, Good
5375, Bad
5378, Bad
5381, Bad
5382, Bad
5383, Good
5384, Good
5391, Bad
5394, Good
5400, Good
5408, Good
5409, Bad
5414, Good
5422, Bad
5431, Bad
5436, Good
5437, Bad
5442, Good
5446, Good
5451, Bad
5452, Good
5460, Good
5461, Bad
5466, Good
5471, Bad
5472, Bad
5478, Bad
5487, Good
5488, Bad
5503, Bad
5504, Good
5510, Bad
5514, Good
5517, Bad
5520, Good
5543, Bad
5547, Bad
5549, Bad
5551, Good
5555, Bad
5563, Bad
5566, Good
5567, Good
5571, Bad
5577, Good
5588, Good
5592, Good
5597, Bad
5601, Bad
5602, Good
5605, Bad
5610, Bad
5615, Good
5617, Bad
5618, Bad
5625, Bad
5629, Bad
5630, Good
5650, Bad
5653, Good
5660, Good
5665, Good
5668, Good
5669, Good
5672, Bad
5674, Bad
5685, Good
5689, Bad
5698, Bad
5700, Good
5705, Good
5706, Bad
5707, Bad
5713, Good
5716, Good
5720, Good
5723, Good
5727, Good
5729, Good
5730, Bad
5732, Good
5738, Bad
5739, Good
5745, Good
5751, Good
5752, Bad
5765, Bad
5768, Bad
5773, Bad
5778, Bad
5786, Bad
5794, Good
5796, Good
5798, Good
5799, Good
5807, Good
5812, Bad
5817, Good
5818, Bad
5825, Good
5831, Good
5834, Bad
5840, Bad
5843, Good
5844, Good
5856, Bad
5863, Bad
5868, Bad
5873, Bad
5876, Bad
5878, Good
5886, Bad
5892, Bad
5893, Bad
5898, Bad
5904, Good
5927, Good
5931, Good
5934, Good
5935, Good
5947, Good
5949, Bad
5951, Good
5954, Good
5961, Good
5963, Good
5970, Bad
5981, Bad
5982, Good
5987, Good
5989, Bad
5990, Good
5996, Good
5997, Bad
6001, Good
6003, Bad
6004, Bad
6010, Good
6013, Bad
6021, Bad
6023, Bad
6030, Good
6037, Good
6038, Bad
6043, Bad
6050, Good
6059, Good
6061, Bad
6062, Good
6071, Good
6074, Good
6080, Good
6087, Bad
6088, Good
6101, Good
6113, Good
6116, Bad
6120, Bad
6124, Bad
6126, Bad
6128, Bad
6134, Bad
6136, Good
6140, Good
6145, Good
6147, Bad
6148, Bad
6149, Bad
6156, Good
6166, Bad
6185, Bad
6186, Bad
6187, Good
6189, Good
6200, Good
6202, Bad
6207, Good
6210, Good
6220, Bad
6231, Good
6241, Bad
6243, Good
6245, Bad
6246, Good
6249, Bad
6261, Bad
6265, Good
6270, Good
6278, Good
6279, Good
6297, Good
6299, Good
6307, Bad
6308, Good
6314, Bad
6316, Bad
6319, Good
6322, Bad
6327, Good
6329, Bad
6332, Bad
6344, Good
6353, Bad
6354, Good
6358, Bad
6359, Good
6360, Good
6364, Good
6374, Bad
6383, Good
6389, Bad
6390, Bad
6393, Bad
6394, Good
6399, Bad
6402, Bad
6405, Good
6413, Bad
6415, Good
6428, Good
6429, Bad
6433, Bad
6436, Bad
6443, Good
6445, Bad
6446, Good
6449, Good
6450, Good
6452, Bad
6461, Bad
6464, Good
6466, Bad
6470, Good
6480, Bad
6485, Bad
6489, Good
6492, Bad
6496, Bad
6507, Good
6533, Bad
6543, Bad
6551, Bad
6557, Bad
6563, Bad
6565, Good
6570, Good
6573, Bad
6581, Bad
6597, Good
6600, Bad
6614, Bad
6617, Bad
6619, Good
6628, Good
6629, Bad
6634, Good
6638, Bad
6644, Bad
6646, Bad
6658, Bad
6664, Bad
6667, Good
6672, Bad
6686, Good
6694, Good
6696, Bad
6698, Bad
6701, Good
6708, Good
6717, Good
6723, Bad
6725, Good
6734, Bad
6735, Good
6739, Good
6740, Good
6741, Bad
6748, Bad
6749, Good
6750, Bad
6752, Bad
6755, Bad
6756, Bad
6762, Good
6763, Good
6765, Good
6766, Bad
6776, Good
6777, Good
6783, Bad
6790, Good
6796, Good
6803, Bad
6805, Bad
6811, Bad
6816, Good
6817, Bad
6818, Bad
6819, Bad
6831, Bad
6833, Good
6838, Bad
6844, Bad
6847, Bad
6855, Good
6865, Bad
6879, Bad
6881, Bad
6882, Bad
6886, Good
6889, Bad
6891, Good
6899, Bad
6907, Good
6909, Bad
6910, Good
6912, Bad
6919, Good
6922, Bad
6927, Good
6934, Bad
6936, Good
6939, Bad
6945, Good
6946, Bad
6954, Bad
6957, Good
6958, Bad
6962, Good
6979, Good
6989, Good
6991, Good
7007, Good
7013, Good
7020, Bad
7021, Good
7022, Good
7024, Good
7029, Bad
7034, Bad
7037, Good
7039, Good
7051, Good
7052, Good
7055, Good
7060, Bad
7066, Bad
7068, Bad
7079, Good
7082, Bad
7083, Good
7085, Good
7087, Bad
7089, Good
7091, Good
7093, Bad
7099, Bad
7101, Bad
7109, Bad
7118, Bad
7123, Bad
7127, Bad
7131, Bad
7135, Bad
7138, Good
7140, Good
7141, Bad
7147, Bad
7148, Good
7152, Bad
7156, Bad
7159, Bad
7161, Good
7170, Bad
7177, Good
7178, Good
7182, Bad
7183, Bad
7184, Bad
7188, Good
7191, Good
7198, Bad
7200, Bad
7204, Bad
7205, Good
7206, Good
7207, Good
7210, Bad
7213, Bad
7215, Bad
7217, Bad
7219, Bad
7226, Bad
7235, Bad
7241, Bad
7249, Bad
7255, Bad
7260, Good
7262, Good
7264, Good
7279, Bad
7285, Bad
7288, Good
7291, Good
7294, Bad
7297, Bad
7300, Good
7302, Bad
7306, Good
7310, Good
7320, Good
7325, Bad
7348, Bad
7349, Good
7350, Bad
7361, Bad
7363, Good
7364, Bad
7381, Bad
7386, Good
7387, Bad
7390, Good
7401, Good
7405, Good
7411, Good
7413, Bad
7420, Bad
7421, Good
7425, Bad
7426, Bad
7430, Bad
7439, Bad
7445, Good
7460, Good
7465, Good
7468, Bad
7473, Good
7478, Good
7482, Bad
7486, Bad
7487, Good
7491, Bad
7500, Good
7507, Bad
7509, Bad
7521, Good
7527, Good
7534, Bad
7535, Bad
7541, Good
7547, Good
7548, Bad
7554, Bad
7555, Good
7572, Good
7576, Good
7579, Good
7583, Bad
7596, Bad
7598, Good
7599, Good
7606, Good
7608, Bad
7612, Good
7625, Bad
7626, Good
7633, Bad
7636, Good
7644, Good
7647, Good
7655, Good
7657, Good
7659, Bad
7675, Bad
7684, Bad
7690, Bad
7691, Good
7695, Bad
7696, Bad
7698, Good
7700, Bad
7714, Good
7719, Good
7724, Bad
7734, Good
7738, Bad
7772, Bad
7781, Bad
7783, Bad
7793, Good
7801, Bad
7809, Bad
7812, Bad
7820, Good
7822, Bad
7838, Good
7854, Good
7862, Good
7868, Bad
7869, Bad
7871, Bad
7876, Bad
7880, Bad
7883, Good
7890, Bad
7904, Bad
7908, Bad
7921, Good
7923, Good
7924, Bad
7927, Good
7929, Good
7936, Bad
7939, Bad
7950, Bad
7954, Bad
7956, Bad
7958, Bad
7965, Good
7967, Good
7969, Good
7970, Bad
7981, Bad
7984, Good
7985, Bad
7996, Good
8002, Bad
8004, Bad
8006, Bad
8007, Good
8014, Bad
8015, Bad
8016, Good
8017, Bad
8023, Bad
8024, Bad
8025, Bad
8027, Bad
8029, Good
8031, Good
8050, Good
8052, Good
8070, Good
8072, Bad
8074, Good
8080, Bad
8084, Good
8086, Bad
8088, Bad
8092, Good
8101, Good
8102, Good
8103, Bad
8109, Good
8112, Bad
8113, Bad
8119, Good
8120, Bad
8122, Bad
8126, Bad
8128, Good
8129, Good
8131, Good
8139, Bad
8145, Bad
8159, Good
8171, Good
8178, Bad
8189, Good
8194, Good
8196, Bad
8197, Bad
8220, Bad
8221, Good
8224, Good
8230, Bad
8233, Bad
8235, Good
8241, Good
8254, Bad
8256, Bad
8258, Good
8263, Good
8274, Bad
8277, Good
8279, Good
8281, Good
8288, Bad
8294, Bad
8296, Bad
8297, Good
8304, Bad
8324, Good
8329, Good
8331, Bad
8344, Bad
8345, Good
8353, Good
8358, Good
8372, Bad
8374, Bad
8375, Bad
8382, Good
8383, Bad
8387, Bad
8389, Bad
8398, Good
8409, Bad
8418, Good
8419, Bad
8420, Bad
8422, Good
8426, Good
8431, Good
8440, Good
8442, Good
8445, Good
8446, Good
8455, Good
8461, Bad
8464, Bad
8465, Bad
8467, Bad
8472, Bad
8475, Good
8478, Good
8481, Bad
8485, Good
8495, Bad
8502, Good
8504, Bad
8511, Bad
8514, Good
8516, Good
8527, Bad
8528, Good
8529, Bad
8534, Good
8537, Bad
8541, Bad
8549, Good
8562, Good
8567, Good
8573, Good
8581, Good
8582, Good
8584, Bad
8586, Bad
8587, Bad
8588, Bad
8602, Bad
8606, Good
8608, Bad
8617, Good
8619, Good
8622, Good
8624, Bad
8628, Bad
8644, Good
8650, Bad
8657, Good
8660, Good
8676, Good
8680, Good
8684, Good
8685, Bad
8689, Bad
8690, Bad
8691, Bad
8701, Bad
8704, Bad
8708, Good
8710, Good
8716, Good
8735, Bad
8736, Good
8740, Good
8747, Bad
8755, Good
8761, Good
8762, Bad
8766, Bad
8778, Bad
8782, Bad
8783, Good
8791, Good
8792, Good
8798, Bad
8799, Bad
8803, Good
8819, Bad
8820, Good
8822, Good
8823, Bad
8824, Bad
8828, Good
8830, Bad
8832, Bad
8836, Bad
8838, Bad
8839, Bad
8844, Bad
8849, Good
8851, Good
8853, Good
8865, Bad
8869, Bad
8874, Good
8888, Good
8908, Good
8913, Bad
8920, Good
8925, Good
8933, Good
8945, Bad
8946, Bad
8950, Good
8960, Good
8964, Bad
8967, Bad
8969, Bad
8970, Bad
8972, Bad
8973, Good
8974, Good
8980, Good
8983, Good
8996, Bad
9014, Bad
9019, Bad
9027, Bad
9030, Bad
9031, Good
9034, Bad
9038, Bad
9040, Good
9041, Good
9047, Good
9048, Bad
9051, Good
9059, Good
9062, Bad
9067, Good
9068, Good
9070, Good
9075, Good
9077, Good
9085, Good
9088, Bad
9095, Good
9097, Good
9108, Bad
9121, Bad
9122, Good
9128, Bad
9130, Good
9141, Bad
9142, Bad
9151, Bad
9155, Good
9157, Bad
9158, Good
9163, Bad
9170, Bad
9172, Good
9185, Good
9186, Good
9188, Bad
9189, Good
9190, Bad
9191, Good
9192, Bad
9196, Good
9201, Good
9202, Good
9205, Good
9219, Bad
9221, Good
9226, Bad
9233, Good
9240, Bad
9242, Bad
9248, Good
9253, Bad
9259, Good
9260, Bad
9267, Good
9268, Bad
9275, Good
9278, Good
9279, Bad
9280, Good
9290, Good
9301, Bad
9311, Bad
9314, Good
9319, Good
9327, Good
9332, Bad
9336, Good
9338, Good
9341, Good
9345, Good
9351, Bad
9352, Bad
9358, Bad
9366, Good
9367, Bad
9371, Bad
9373, Bad
9375, Bad
9385, Bad
9391, Good
9392, Bad
9399, Bad
9407, Good
9410, Bad
9412, Good
9420, Bad
9424, Good
9427, Good
9433, Good
9446, Good
9450, Bad
9451, Good
9458, Bad
9461, Bad
9463, Good
9472, Good
9478, Bad
9487, Good
9488, Bad
9502, Bad
9508, Good
9510, Good
9515, Bad
9518, Good
9522, Good
9528, Bad
9530, Good
9531, Bad
9534, Good
9536, Good
9537, Good
9540, Good
9541, Bad
9546, Good
9550, Bad
9556, Good
9559, Bad
9565, Bad
9586, Bad
9587, Good
9588, Good
9589, Bad
9597, Bad
9598, Good
9625, Good
9630, Bad
9632, Bad
9633, Good
9637, Good
9639, Bad
9640, Bad
9650, Good
9656, Good
9663, Good
9665, Good
9675, Good
9677, Bad
9686, Good
9689, Good
9694, Bad
9699, Bad
9701, Good
9702, Good
9703, Bad
9704, Good
9707, Good
9710, Bad
9717, Good
9722, Bad
9726, Bad
9727, Good
9728, Good
9735, Bad
9738, Good
9743, Bad
9748, Good
9752, Good
9755, Good
9756, Good
9761, Bad
9768, Good
9776, Good
9785, Bad
9786, Good
9796, Good
9798, Good
9804, Bad
9806, Good
9815, Good
9816, Good
9824, Good
9826, Good
9827, Good
9828, Good
9832, Bad
9833, Good
9834, Good
9837, Bad
9842, Good
9848, Good
9851, Bad
9856, Good
9864, Bad
9871, Good
9877, Good
9881, Good
9884, Bad
9885, Bad
9895, Good
9898, Good
9907, Good
9912, Bad
9913, Good
9921, Bad
9924, Good
9929, Good
9930, Good
9934, Bad
9939, Bad
9941, Good
9962, Bad
9976, Bad
9981, Good
9987, Bad
9995, Bad
9999, Bad
10001, Bad
10019, Good
10020, Bad
10025, Bad
10035, Bad
10041, Good
10042, Good
10043, Good
10055, Good
10070, Good
10076, Good
10078, Good
10079, Bad
10083, Bad
10087, Good
10091, Bad
10092, Bad
10093, Bad
10096, Bad
10101, Bad
10111, Bad
10115, Bad
10117, Good
10125, Good
10129, Bad
10134, Good
10140, Bad
10143, Good
10146, Bad
10154, Bad
10161, Good
10164, Bad
10168, Bad
10173, Good
10175, Bad
10180, Good
10181, Bad
10187, Bad
10207, Good
10211, Good
10212, Good
10215, Bad
10220, Good
10227, Good
10234, Good
10236, Bad
10241, Good
10244, Good
10246, Good
10248, Bad
10253, Good
10256, Good
10257, Bad
10269, Bad
10272, Good
10275, Good
10282, Good
10294, Good
10297, Good
10302, Good
10303, Bad
10306, Good
10313, Bad
10316, Good
10318, Good
10332, Bad
10336, Good
10340, Good
10351, Bad
10357, Good
10358, Good
10359, Good
10361, Bad
10363, Bad
10364, Good
10366, Good
10367, Good
10379, Bad
10382, Good
10391, Bad
10395, Bad
10396, Good
10398, Good
10405, Good
10406, Good
10411, Bad
10413, Bad
10417, Good
10419, Good
10446, Good
10463, Good
10471, Bad
10474, Bad
10477, Bad
10484, Bad
10491, Good
10492, Bad
10506, Bad
10508, Bad
10510, Good
10512, Good
10513, Good
10523, Bad
10530, Bad
10532, Bad
10533, Good
10534, Bad
10538, Bad
10541, Bad
10543, Good
10548, Bad
10552, Bad
10559, Bad
10564, Bad
10570, Good
10577, Bad
10587, Bad
10589, Good
10598, Good
10605, Bad
10609, Bad
10623, Bad
10628, Bad
10631, Good
10638, Bad
10639, Bad
10649, Bad
10650, Bad
10657, Bad
10663, Good
10673, Good
10677, Good
10682, Bad
10685, Good
10689, Good
10693, Bad
10698, Good
10708, Bad
10712, Good
10715, Bad
10716, Bad
10718, Bad
10730, Good
10736, Good
10737, Bad
10739, Bad
10740, Bad
10742, Good
10749, Good
10750, Good
10751, Good
10763, Good
10773, Good
10780, Bad
10782, Bad
10783, Good
10785, Good
10788, Bad
10794, Good
10804, Bad
10814, Bad
10817, Good
10821, Good
10823, Good
10826, Good
10834, Bad
10838, Good
10848, Bad
10852, Good
10854, Good
10858, Bad
10859, Good
10864, Good
10872, Good
10873, Bad
10874, Good
10879, Bad
10891, Good
10892, Bad
10895, Bad
10899, Bad
10901, Bad
10904, Good
10905, Bad
10915, Bad
10920, Good
10922, Good
10933, Good
10935, Good
10939, Bad
10953, Bad
10954, Good
10965, Bad
10982, Bad
10990, Bad
10995, Good
11008, Good
11013, Good
11016, Bad
11022, Good
11033, Bad
11034, Bad
11043, Good
11048, Bad
11053, Good
11054, Good
11064, Bad
11070, Bad
11073, Good
11078, Good
11093, Bad
